"","gene_symbol"
"882","FAM48A"
"883","ZNF304"
"884","ETV3"
"885","PKNOX2"
"886","LMX1B"
"887","SIM1"
"888","FOXO4"
"889","HOXD1"
"890","SHOX"
"891","DLX6"
"892","ZNF317"
"893","BBX"
"894","EOMES"
"895","HIC2"
"896","ZNF177"
"897","ZNF24"
"898","SMAD5"
"899","ZNF140"
"900","ZNF91"
"901","NPAS2"
"902","ZEB2"
"903","ZNF268"
"904","TBX19"
"905","TRPS1"
"906","ZNF239"
"907","SCRT1"
"908","HES7"
"909","ATOH7"
"910","PEG3"
"911","ZNF382"
"912","SMAD6"
"913","CDC5L"
"914","DPF1"
"915","MLXIP"
"916","BRIP1"
"917","TBX22"
"918","C1ORF61"
"919","IKZF5"
"920","TBX4"
"921","NACC1"
"922","TLX2"
"923","HES3"
"924","HOXC10"
"925","NEUROG1"
"926","ZNF326"
"927","NKX2-3"
"928","HMG20A"
"929","E2F2"
"930","TBX21"
"931","KLF8"
"932","TBR1"
"933","GBX2"
"934","LHX1"
"935","SPDEF"
"936","MGA"
"937","TULP1"
"938","TULP2"
"939","KLF3"
"940","NKRF"
"941","PRDM4"
"942","ZNF157"
"943","PGS1"
"944","DIDO1"
"945","ZFAND3"
"946","RFX3"
"947","HIVEP2"
"948","HMX3"
"949","SOX13"
"950","ZBTB10"
"951","PARP1"
"952","DEAF1"
"953","ZNF85"
"954","ZNF205"
"955","ZNF423"
"956","KLF7"
"957","DUX1"
"958","HOXA1"
"959","TGFB1I1"
"960","GSC2"
"961","IRF3"
"962","ZNF189"
"963","ZFP37"
"964","ZNF45"
"965","ZFP42"
"966","HR"
"967","HTATIP2"
"968","LMX1A"
"969","ZBTB17"
"970","HOXA6"
"971","EED"
"972","FOXM1"
"973","FOXN1"
"974","HOXA11"
"975","TCF15"
"976","ELF2"
"977","HOXB7"
"978","MEF2BNB-MEF2B"
"979","ARID5A"
"980","POU6F1"
"981","MYT1L"
"982","POU6F2"
"983","TGIF2LX"
"984","MXD3"
"985","MXD4"
"986","NFXL1"
"987","ZNF37A"
"988","TFDP1"
"989","ZNF354A"
"990","HES2"
"991","TFEC"
"992","HOXA3"
"993","RORB"
"994","RORA"
"995","HOXA4"
"996","NR1D2"
"997","MTF2"
"998","E2F5"
"999","TFDP2"
"1000","CNBP"
"1001","ZNF174"
"1002","ZNF136"
"1003","GSX2"
"1004","ZNF132"
"1005","ZNF134"
"1006","ZNF135"
"1007","ZNF138"
"1008","ZNF154"
"1009","ZNF155"
"1010","ZNF19"
"1011","LHX2"
"1012","ZNF165"
"1013","TCF7L1"
"1014","ZNF117"
"1015","ZNF92"
"1016","ZNF93"
"1017","DENND4A"
"1018","ENO1"
"1019","EGR3"
"1020","HOXD11"
"1021","HOXD4"
"1022","ZSCAN26"
"1023","PURA"
"1024","APEX1"
"1025","PRRX1"
"1026","LOC100359610"
"1027","LOC100360577"
"1028","LOC100361016"
"1029","LOC100361421"
"1030","LOC100362054"
"1031","LOC100362741"
"1032","LOC100362783"
"1033","LOC100364002"
"1034","LOC100365046"
"1035","LOC100909641"
"1036","LOC100909714"
"1037","LOC100911546"
"1038","LOC100911668"
"1039","LOC257642"
"1040","LOC304396"
"1041","LOC306096"
"1042","LOC498414"
"1043","LOC499235"
"1044","LOC682968"
"1045","LOC686376"
"1046","LOC688111"
"1047","LOC689856"
"1048","LOC691272"
"1049","LOC691661"
"1050","BPNT1"
"1051","AKAP9"
"1052","AKAP17A"
"1053","AKAP8"
"1054","AKAP8L"
"1055","ASCL4"
"1056","ASCL5"
"1057","ANP32A"
"1058","ACTL6A"
"1059","ASCC1"
"1060","ASCC2"
"1061","ASCC3"
"1062","ATF4P3"
"1063","ATF7IP"
"1064","ABT1"
"1065","ADNP"
"1066","ARC"
"1067","ADAMTS17"
"1068","ADAMTS19"
"1069","AP5Z1"
"1070","ASXL1"
"1071","ASXL2"
"1072","APC"
"1073","ADAR"
"1074","ADNP2"
"1075","ADPGK"
"1076","ARFGAP2"
"1077","ADRB2"
"1078","AFF1"
"1079","AFF2"
"1080","AFF3"
"1081","AFF4"
"1082","AG"
"1083","ATRX"
"1084","ALYREF"
"1085","AES"
"1086","APP"
"1087","APBB1"
"1088","APBB2"
"1089","ANAPC2"
"1090","AMOT"
"1091","ABTB1"
"1092","ANKRD5"
"1093","ASB1"
"1094","ASB10"
"1095","ASB11"
"1096","ASB12"
"1097","ASB15"
"1098","ASB3"
"1099","ASB4"
"1100","ASB6"
"1101","ASB8"
"1102","ASB9"
"1103","ANKS1A"
"1104","ANKS3"
"1105","ANKZF1"
"1106","ANKRD1"
"1107","ANKRD10"
"1108","ANKRD2"
