,Selected,vst_mean,vst_variable,vst_variance,vst_variance_expected,vst_variance_standardized,highly_variable,n_cells
MOB3C,0.0,0.009272191,0,0.0095745465,0.009953412,0.9619361,False,93
ATPAF1,0.0,0.56816417,0,0.6744611,0.7523934,0.8964208,False,4346
EFCAB14,0.0,0.13749224,0,0.14559564,0.15492715,0.9397684,False,1248
CYP4A22-AS1,0.0,0.000698324,0,0.00069786346,0.00072131766,0.96748424,False,6
LINC00853,0.0,0.0043451274,0,0.004326415,0.004620883,0.93627447,False,34
TAL1,1.0,0.003530416,1,0.006311493,0.0037418325,1.6867385,True,6
STIL,0.0,0.059590317,0,0.06667194,0.065724954,1.0144083,False,566
CMPK1,0.0,0.9310211,0,1.1119052,1.39533,0.79687613,False,6328
FOXD2-AS1,1.0,0.017147735,1,0.022829125,0.018651815,1.2239627,True,101
FOXD2,1.0,0.010397268,1,0.019988885,0.011181947,1.7876034,True,26
TRABD2B,1.0,0.06327592,1,0.08356147,0.06985475,1.1962174,True,536
SPATA6,0.0,0.15638578,0,0.1675503,0.1772651,0.9451962,False,1573
AGBL4,0.0,0.0032976412,0,0.0032868944,0.0034908392,0.94157714,False,38
BEND5,0.0,0.35808504,0,0.43852085,0.44055942,0.9953728,False,3014
ELAVL4,1.0,0.70003104,1,2.4767659,0.9707612,2.5513647,True,4298
FAF1,0.0,0.1084342,0,0.11902721,0.12127777,0.9814429,False,955
CDKN2C,0.0,0.06665115,1,0.14647889,0.07364625,1.9889525,False,535
LINC01562,0.0,0.0057029794,0,0.0059810537,0.006089377,0.9822111,False,76
RNF11,0.0,0.70014745,0,0.8344302,0.97096133,0.85938567,False,5077
TTC39A,0.0,0.0019785848,0,0.0020523411,0.0020760924,0.9885596,False,12
EPS15,0.0,0.16674426,0,0.17564823,0.1896984,0.92593414,False,1549
OSBPL9,0.0,0.6601102,0,0.8186702,0.90287566,0.90673643,False,4605
NRDC,0.0,0.5202514,0,0.65572953,0.6780545,0.96707493,False,3795
RAB3B,1.0,0.16794693,1,0.22735044,0.19116096,1.1893142,True,1827
TXNDC12,0.0,0.7148898,0,0.9123463,0.99641764,0.9156264,False,5048
KTI12,0.0,0.07786313,0,0.07878676,0.08637762,0.91212004,False,762
BTF3L4,0.0,1.8550202,0,2.4971952,3.6105773,0.6916333,False,8897
ZFYVE9,0.0,0.07087989,0,0.07322997,0.07841638,0.93386066,False,608
CC2D1B,0.0,0.027118249,0,0.027237413,0.029795595,0.9141423,False,255
AL513218.1,0.0,0.0010086902,0,0.0010077119,0.0010469062,0.9625617,False,10
ORC1,0.0,0.08946307,0,0.099076554,0.09959845,0.99476,False,716
PRPF38A,0.0,0.55373216,0,0.66411567,0.72971916,0.9100976,False,4068
TUT4,0.0,0.7786701,0,1.0187513,1.1090307,0.918596,False,5125
AL591167.1,0.0,0.0020949722,0,0.0020906643,0.0022003395,0.9501553,False,26
GPX7,0.0,0.13279796,0,0.16304298,0.14944097,1.0910193,False,1389
SHISAL2A,0.0,0.03235568,0,0.035034545,0.035637572,0.9830789,False,346
COA7,0.0,0.10944289,0,0.116789974,0.12242989,0.9539335,False,824
ZYG11B,0.0,0.20918684,0,0.22991522,0.24262094,0.94763136,False,1870
ZYG11A,0.0,0.0007371198,0,0.000736605,0.00076185504,0.96685725,False,3
ECHDC2,0.0,0.0468653,0,0.051498998,0.051667444,0.9967398,False,583
SCP2,0.0,0.87523276,0,1.0167507,1.2875705,0.789666,False,6238
PODN,0.0,0.005043451,0,0.005095804,0.005375483,0.9479714,False,75
CPT2,0.0,0.08220825,0,0.08360042,0.09134271,0.91523904,False,800
AL606760.2,0.0,0.00597455,0,0.0060166796,0.0063833073,0.94256467,False,75
C1orf123,0.0,0.58135474,0,0.69770706,0.7733593,0.9021771,False,4352
AL606760.3,0.0,0.00422874,0,0.0042886157,0.004495243,0.95403427,False,41
MAGOH,0.0,0.8926909,0,1.2261177,1.3209304,0.92822284,False,5785
AL606760.1,0.0,0.013229361,0,0.013675608,0.014292228,0.95685625,False,165
LRP8,0.0,0.15848076,0,0.17333098,0.17975971,0.9642371,False,1756
LINC01771,0.0,0.0013190565,0,0.0013173677,0.0013749569,0.95811564,False,13
GLIS1,0.0,0.004073557,0,0.0042123096,0.004327778,0.9733193,False,41
NDC1,0.0,0.178383,0,0.20965257,0.20399249,1.0277466,False,1603
