"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLC39A10",8.72071550082782e-12,0.297070188942437,0.416,0.37,1.9298943403332e-07,"10-N_Glut","SLC39A10"
"ACYP2",9.1310732135758e-12,0.304425081474188,0.287,0.225,2.02070650216432e-07,"10-N_Glut","ACYP2"
"H1F0",9.82866115893305e-12,0.414174715120581,0.336,0.271,2.17508271447188e-07,"10-N_Glut","H1F0"
"TBRG1",1.02376532174629e-11,0.341061677399221,0.274,0.214,2.26559265702455e-07,"10-N_Glut","TBRG1"
"ACLY",1.05809083588507e-11,0.344839944191191,0.407,0.361,2.34155501981367e-07,"10-N_Glut","ACLY"
"FAM228B",1.14603623481689e-11,0.320163597313099,0.297,0.233,2.53617818764978e-07,"10-N_Glut","FAM228B"
"UBE2B",1.32082607094764e-11,0.271473646666771,0.554,0.536,2.92298809500713e-07,"10-N_Glut","UBE2B"
"WDR82",1.46108171178286e-11,0.311826888398131,0.387,0.335,3.23337382817548e-07,"10-N_Glut","WDR82"
"ZMYM2",1.6411677169091e-11,0.28100222144163,0.479,0.434,3.63190415751984e-07,"10-N_Glut","ZMYM2"
"PTPRF",1.79676256574251e-11,0.309643686460946,0.421,0.376,3.97623555798818e-07,"10-N_Glut","PTPRF"
"DDX6",1.97527060416889e-11,0.295653092844871,0.531,0.513,4.37127384702576e-07,"10-N_Glut","DDX6"
"RERE",1.97731147157073e-11,0.263500838121196,0.529,0.504,4.37579028658601e-07,"10-N_Glut","RERE"
"PPP1R3E",2.02846066123029e-11,0.300110779961534,0.27,0.206,4.48898344330263e-07,"10-N_Glut","PPP1R3E"
"ARID1A1",2.15554384884548e-11,0.254129858964765,0.542,0.518,4.77021853749505e-07,"10-N_Glut","ARID1A"
"ZDHHC9",2.21145987854642e-11,0.287941437000118,0.299,0.236,4.89396071122322e-07,"10-N_Glut","ZDHHC9"
"ZNF677",2.42369058793354e-11,0.305629214002646,0.313,0.251,5.36362727109692e-07,"10-N_Glut","ZNF677"
