"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"ETV1",4.02637588627633e-128,0.510359648088761,0.393,0.249,8.91036983632952e-124,"0-P_MesenFP_LMX1A_Early","ETV1"
"RFX3",2.27753524037609e-127,0.487438947735002,0.502,0.36,5.04018548695229e-123,"0-P_MesenFP_LMX1A_Early","RFX3"
"GCHFR",3.63815015921049e-127,0.469778186854465,0.371,0.22,8.05122630233282e-123,"0-P_MesenFP_LMX1A_Early","GCHFR"
"RPS6KA3",8.7725672755622e-127,0.486679977535158,0.321,0.178,1.94136913808191e-122,"0-P_MesenFP_LMX1A_Early","RPS6KA3"
"SLC39A8",1.66492272970217e-126,0.486030893831094,0.26,0.128,3.68447400083091e-122,"0-P_MesenFP_LMX1A_Early","SLC39A8"
"OAF",1.00758375413081e-125,0.486897288504176,0.3,0.161,2.22978284789147e-121,"0-P_MesenFP_LMX1A_Early","OAF"
"CDO1",8.13252066103356e-124,0.308705694912492,0.609,0.44,1.79972682228673e-119,"0-P_MesenFP_LMX1A_Early","CDO1"
"GYG1",1.0661164105145e-121,0.512172208938534,0.442,0.304,2.35931561646858e-117,"0-P_MesenFP_LMX1A_Early","GYG1"
"IGFBP2",1.16748525250439e-121,0.365158460497853,0.722,0.625,2.58364486379221e-117,"0-P_MesenFP_LMX1A_Early","IGFBP2"
"MLLT1",2.06999247121266e-116,0.406712508211118,0.546,0.399,4.58089333879363e-112,"0-P_MesenFP_LMX1A_Early","MLLT1"
"AC245297.3",5.01060181202259e-113,0.437701445420209,0.508,0.379,1.1088461810006e-108,"0-P_MesenFP_LMX1A_Early","AC245297.3"
"SLIT3",5.96918059530494e-111,0.443014063923217,0.302,0.166,1.32097966574098e-106,"0-P_MesenFP_LMX1A_Early","SLIT3"
"SALL1",1.01729958793678e-109,0.477639946644283,0.448,0.324,2.2512839881041e-105,"0-P_MesenFP_LMX1A_Early","SALL1"
"CHL1",2.10494058970361e-109,0.400393819713964,0.257,0.129,4.6582335250141e-105,"0-P_MesenFP_LMX1A_Early","CHL1"
"FBLN1",8.83244468508423e-109,0.379768912502385,0.645,0.538,1.95462000880914e-104,"0-P_MesenFP_LMX1A_Early","FBLN1"
"SOX21",1.75593175578348e-108,0.446234000648392,0.391,0.253,3.88587697554885e-104,"0-P_MesenFP_LMX1A_Early","SOX21"
"OTX2",3.52247791898272e-108,0.357779764470073,0.524,0.367,7.79524363470876e-104,"0-P_MesenFP_LMX1A_Early","OTX2"
"RBMS1",3.49722901901674e-106,0.452788172220724,0.429,0.295,7.73936781908404e-102,"0-P_MesenFP_LMX1A_Early","RBMS1"
"PDLIM5",1.59354804078135e-104,0.329389537743005,0.476,0.33,3.52652181424914e-100,"0-P_MesenFP_LMX1A_Early","PDLIM5"
"NBPF1",2.06385059745607e-104,0.480891824637988,0.384,0.258,4.56730137217029e-100,"0-P_MesenFP_LMX1A_Early","NBPF1"
"FOXP2",6.32052831861286e-103,0.353126334855421,0.336,0.191,1.39873291690903e-98,"0-P_MesenFP_LMX1A_Early","FOXP2"
"PIAS1",1.18690084956589e-101,0.356668104943236,0.646,0.556,2.62661158008932e-97,"0-P_MesenFP_LMX1A_Early","PIAS1"
"PDIA6",1.47004041084397e-101,0.268855300963937,0.841,0.786,3.2531994291977e-97,"0-P_MesenFP_LMX1A_Early","PDIA6"
"ZFHX3",1.17927298339584e-100,0.287080129742138,0.598,0.465,2.60973111225498e-96,"0-P_MesenFP_LMX1A_Early","ZFHX3"
"LMO4",1.82557858158819e-98,0.360902929445557,0.613,0.518,4.04000540105467e-94,"0-P_MesenFP_LMX1A_Early","LMO4"
"PHF10",2.82826524277418e-98,0.443282268515034,0.309,0.186,6.25895098225926e-94,"0-P_MesenFP_LMX1A_Early","PHF10"
"FZD1",3.96932687193235e-98,0.354885959648205,0.315,0.178,8.78412036758628e-94,"0-P_MesenFP_LMX1A_Early","FZD1"
"AES",3.19558075358362e-97,0.254622926657458,0.813,0.774,7.07182020768056e-93,"0-P_MesenFP_LMX1A_Early","AES"
"CELF2",3.24470423533966e-97,0.35278272125834,0.498,0.363,7.18053047280667e-93,"0-P_MesenFP_LMX1A_Early","CELF2"
"TMEM38B",1.70428408205815e-95,0.30715528244188,0.569,0.427,3.77158067359468e-91,"0-P_MesenFP_LMX1A_Early","TMEM38B"
"HEY1",1.03086928191886e-93,0.361605658026286,0.379,0.234,2.28131372088644e-89,"0-P_MesenFP_LMX1A_Early","HEY1"
"FOXP1",3.70412862278199e-93,0.271964815038432,0.593,0.451,8.19723664221655e-89,"0-P_MesenFP_LMX1A_Early","FOXP1"
"SERINC5",4.03281055439188e-93,0.462941824021128,0.28,0.163,8.92460975686923e-89,"0-P_MesenFP_LMX1A_Early","SERINC5"
"TMEM45A",1.53142459113196e-92,0.477160482546899,0.476,0.365,3.38904262017502e-88,"0-P_MesenFP_LMX1A_Early","TMEM45A"
"APCDD1",1.22830794537703e-91,0.379369344758258,0.462,0.323,2.71824548311936e-87,"0-P_MesenFP_LMX1A_Early","APCDD1"
"ADD3",1.62386899734491e-90,0.416896572077739,0.486,0.377,3.59362209112429e-86,"0-P_MesenFP_LMX1A_Early","ADD3"
